descriptor,borough,city,street
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,BARCLAY STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,EBONY COURT
Stop,BROOKLYN,BROOKLYN,86 STREET
Stop,BROOKLYN,BROOKLYN,86 STREET
Stop,STATEN ISLAND,STATEN ISLAND,WINCHESTER AVENUE
Stop,QUEENS,FLUSHING,169 STREET
Stop,STATEN ISLAND,STATEN ISLAND,MOSEL AVENUE
N/A,MANHATTAN,NEW YORK,FRONT STREET
Driver Complaint,MANHATTAN,NEW YORK,BROADWAY
N/A,MANHATTAN,NEW YORK,WEST 4 STREET
Unsafe Worksite,QUEENS,MASPETH,BEND
Driver Complaint,BROOKLYN,BROOKLYN,42 STREET
Dead Animal,MANHATTAN,,WEST 125TH ST
"No Parking, Standing, Stopping",QUEENS,RICHMOND HILL,112 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,5 AVENUE
Plate Condition - Shifted,QUEENS,FOREST HILLS,YELLOWSTONE BOULEVARD
Plate Condition - Shifted,QUEENS,FOREST HILLS,UNION TURNPIKE
Stop,BROOKLYN,,E 9 ST
"No Parking, Standing, Stopping",QUEENS,FLUSHING,COLDEN STREET
Driver Complaint,MANHATTAN,NEW YORK,MADISON AVENUE
Unsafe Worksite,STATEN ISLAND,STATEN ISLAND,WOODROW ROAD
In Public,BROOKLYN,BROOKLYN,AVENUE P
"No Parking, Standing, Stopping",QUEENS,ROSEDALE,MENTONE AVENUE
Plate Condition - Shifted,QUEENS,,38 AVENUE
Stop,BRONX,BRONX,CROSS BRONX EXPRESSWAY
Stop,STATEN ISLAND,STATEN ISLAND,TYSENS LANE
Other,MANHATTAN,NEW YORK,7 AVENUE
Stop,STATEN ISLAND,,PURDY AVE
Driver Complaint,MANHATTAN,NEW YORK,PARK AVENUE
Driver Complaint,BROOKLYN,BROOKLYN,18 STREET
N/A,MANHATTAN,NEW YORK,HENRY STREET
Plate Condition - Shifted,QUEENS,RIDGEWOOD,78 ROAD
Dead Animal,QUEENS,,26TH AVENUE
Driver Complaint,MANHATTAN,NEW YORK,MADISON AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 49 STREET
Dead Animal,QUEENS,,VAN WYCK EXPRESSWAY EXIT
One Way,QUEENS,JAMAICA,DILLON STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 55 STREET
Unsafe Worksite,BRONX,BRONX,WEST 161 STREET
One Way,MANHATTAN,NEW YORK,WEST 95 STREET
Unsafe Worksite,BROOKLYN,BROOKLYN,55 STREET
Stop,QUEENS,OAKLAND GARDENS,232 STREET
Plate Condition - Shifted,QUEENS,JAMAICA,GRAND CENTRAL PARKWAY
In Public,QUEENS,CORONA,LARUE AVENUE
Snow or Ice,STATEN ISLAND,STATEN ISLAND,SLOSSON TERRACE
Snow or Ice,BRONX,BRONX,FREEMAN STREET
Snow or Ice,BROOKLYN,BROOKLYN,SOUTH 5 STREET
Stop,QUEENS,FRESH MEADOWS,161 STREET
Plate Condition - Shifted,QUEENS,FLUSHING,164 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 25 STREET
Stop,QUEENS,MIDDLE VILLAGE,79 STREET
Driver Complaint,MANHATTAN,,BARRYSTREET
Tree Damage or Arborcide,BROOKLYN,BROOKLYN,EAST 3 STREET
One Way,BROOKLYN,BROOKLYN,WEST 9 STREET
In Public,QUEENS,CORONA,LARUE AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
N/A,MANHATTAN,NEW YORK,WEST 41 STREET
Letter Verifying Traffic,BRONX,BRONX,STORY AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 140 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST END AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 3 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,FARRAGUT ROAD
Driver Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 75 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 149 STREET
Letter Verifying Traffic,MANHATTAN,,E 125 ST
Stop,QUEENS,MIDDLE VILLAGE,77 STREET
One Way,QUEENS,JAMAICA,169 STREET
Plate Condition - Shifted,QUEENS,BAYSIDE,216 STREET
Driver Complaint,BROOKLYN,BROOKLYN,7 AVENUE
Stop,QUEENS,LITTLE NECK,VAN ZANDT AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,EAST 16 STREET
Graffiti or Vandalism,QUEENS,MASPETH,JAY AVENUE
"No Parking, Standing, Stopping",BRONX,BRONX,BURKE AVENUE
Driver Complaint,MANHATTAN,NEW YORK,EAST 23 STREET
Snow or Ice,MANHATTAN,NEW YORK,WEST 90 STREET
Unsafe Worksite,MANHATTAN,NEW YORK,WEST BROADWAY
Tree Damage or Arboricide,MANHATTAN,,2ND AVENUE
Dead Animal,BRONX,,HENRY HUDSON PKWY WEST
Driver Complaint,MANHATTAN,NEW YORK,LIBERTY STREET
"No Parking, Standing, Stopping",QUEENS,FLUSHING,PRINCE STREET
"No Parking, Standing, Stopping",QUEENS,FLUSHING,41 ROAD
Driver Complaint,MANHATTAN,NEW YORK,WEST 69 STREET
Unsafe Worksite,BRONX,,WHITE PLAINS ROAD
Curb Painted,BROOKLYN,BROOKLYN,82 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,NOSTRAND AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,BEND
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST END AVENUE
Plate Condition - Shifted,BROOKLYN,BROOKLYN,SNYDER AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 73 STREET
Stop,QUEENS,HOWARD BEACH,153 AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,WOODS OF ARDEN ROAD
Stop,QUEENS,MASPETH,DEAD END
"No Parking, Standing, Stopping",QUEENS,COLLEGE POINT,129 STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 70 STREET
N/A,QUEENS,FAR ROCKAWAY,CORNAGA AVENUE
Plate Condition - Shifted,STATEN ISLAND,STATEN ISLAND,NELSON AVENUE
Stop,MANHATTAN,NEW YORK,WASHINGTON STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST 3 STREET
Damaged Telephone,MANHATTAN,NEW YORK,WEST 162 STREET
"No Parking, Standing, Stopping",BRONX,BRONX,KATONAH AVENUE
Condition Attracting Rodents,STATEN ISLAND,STATEN ISLAND,ROE STREET
N/A,MANHATTAN,NEW YORK,6 AVENUE
Unsafe Worksite,MANHATTAN,,GREENWICH
Stop,QUEENS,MIDDLE VILLAGE,77 STREET
Unsafe Worksite,QUEENS,FOREST HILLS,AUSTIN STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 71 STREET
Driver Complaint,QUEENS,QUEENS,93 STREET
Plate Condition - Shifted,QUEENS,QUEENS VILLAGE,WINCHESTER BOULEVARD
Driver Complaint,MANHATTAN,NEW YORK,1 AVENUE
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,STATE STREET
Snow or Ice,BROOKLYN,BROOKLYN,MILLER AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 66 STREET
Stop,QUEENS,HOWARD BEACH,155 AVENUE
Vehicle Complaint,MANHATTAN,NEW YORK,EAST 68 STREET
Stop,QUEENS,FRESH MEADOWS,164 STREET
Dead Animal,QUEENS,,EXIT 21
Stop,BROOKLYN,BROOKLYN,BENSON AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 39 STREET
Unsafe Worksite,BROOKLYN,BROOKLYN,CLARKSON AVENUE
Stop,STATEN ISLAND,STATEN ISLAND,DELAFIELD AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 38 STREET
N/A,MANHATTAN,NEW YORK,BROADWAY
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,WEST STREET
Food Spoiled,BROOKLYN,BROOKLYN,55 STREET
Dead Animal,BROOKLYN,,BELT PARKWAY
Driver Complaint,MANHATTAN,NEW YORK,5 AVENUE
Driver Complaint,MANHATTAN,NEW YORK,PARK AVENUE SOUTH
Stop,QUEENS,,138 ROAD
One Way,BROOKLYN,BROOKLYN,SHELL ROAD
Stop,BROOKLYN,BROOKLYN,EAST 16 STREET
Hours of Operation,BRONX,BRONX,EAST 215 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 37 STREET
Unsafe Worksite,BROOKLYN,BROOKLYN,NORTH 9 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 74 STREET
Stop,BROOKLYN,BROOKLYN,FARRAGUT ROAD
Stop,BROOKLYN,BROOKLYN,MOTHER GASTON BOULEVARD
One Way,MANHATTAN,NEW YORK,EAST 9 STREET
Plate Condition - Shifted,BRONX,BRONX,GRAND CONCOURSE
Driver Complaint,MANHATTAN,NEW YORK,CANAL STREET
Stop,BROOKLYN,BROOKLYN,EAST 70 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 74 STREET
Graffiti or Vandalism,QUEENS,MASPETH,BORDEN AVENUE
Other,MANHATTAN,NEW YORK,WARREN STREET
Driver Complaint,MANHATTAN,NEW YORK,WALKER STREET
Stop,QUEENS,REGO PARK,99 STREET
Stop,QUEENS,GLEN OAKS,267 STREET
Plate Condition - Shifted,BROOKLYN,,BROOKLYN BRIDGE
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,WEST 162 STREET
Driver Complaint,MANHATTAN,NEW YORK,KING STREET
Stop,QUEENS,QUEENS VILLAGE,SEWARD AVENUE
Yield,BROOKLYN,,HAMILTON  AVE
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,STUYVESANT AVENUE
N/A,MANHATTAN,NEW YORK,PARK AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST HOUSTON STREET
Other,MANHATTAN,NEW YORK,EAST 85 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,KIMBALL STREET
N/A,MANHATTAN,NEW YORK,WEST 61 STREET
N/A,QUEENS,OAKLAND GARDENS,228 STREET
Dead Animal,QUEENS,,EXIT 25
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,EAST 2 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,LIBERTY STREET
Dead Animal,QUEENS,,CLEARVIEW EXPRESSWAY
Dead Animal,QUEENS,,EXIT 25
N/A,MANHATTAN,NEW YORK,UNNAMED STREET
Driver Complaint,MANHATTAN,NEW YORK,MOTT STREET
Stop,MANHATTAN,NEW YORK,BEEKMAN STREET
Plate Condition - Shifted,STATEN ISLAND,STATEN ISLAND,HUSSON STREET
One Way,MANHATTAN,NEW YORK,FRONT STREET
Stop,QUEENS,SOUTH RICHMOND HILL,117 STREET
"No Parking, Standing, Stopping",STATEN ISLAND,STATEN ISLAND,HUGUENOT AVENUE
Driver Complaint,MANHATTAN,,AMSTERDAM
Plate Condition - Shifted,MANHATTAN,NEW YORK,WEST 17 STREET
Driver Complaint,BRONX,BRONX,CRESTON AVENUE
Stop,BRONX,BRONX,CROSS BX EXPRESSWAY ENTRANCE WB
Driver Complaint,BROOKLYN,BROOKLYN,53 STREET
Curb Painted,BRONX,BRONX,RIVER AVENUE
Driver Complaint,MANHATTAN,NEW YORK,MADISON AVENUE
Unsafe Worksite,STATEN ISLAND,STATEN ISLAND,YETMAN AVENUE
N/A,MANHATTAN,NEW YORK,WEST 26 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST END AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 3 STREET
Unsafe Worksite,MANHATTAN,NEW YORK,WEST 39 STREET
Stop,BROOKLYN,BROOKLYN,GERRITSEN AVENUE
Food Spoiled,MANHATTAN,NEW YORK,ASTOR PLACE
Food Spoiled,MANHATTAN,NEW YORK,ASTOR PLACE
"No Parking, Standing, Stopping",BRONX,BRONX,METROPOLITAN AVENUE
Unsafe Worksite,QUEENS,COLLEGE POINT,DEAD END
Stop,QUEENS,EAST ELMHURST,GILLMORE STREET
Driver Complaint,BROOKLYN,BROOKLYN,SOUTH ELLIOTT PLACE
Driver Complaint,QUEENS,MASPETH,68 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 48 STREET
Driver Complaint,MANHATTAN,NEW YORK,BLEECKER STREET
"No Parking, Standing, Stopping",QUEENS,ASTORIA,36 STREET
Stop,QUEENS,MIDDLE VILLAGE,69 PLACE
Blocking Street,BROOKLYN,BROOKLYN,SHORE ROAD
Plate Condition - Shifted,MANHATTAN,NEW YORK,EDGAR STREET
Yield,QUEENS,MIDDLE VILLAGE,ELIOT AVENUE
Plate Condition - Shifted,BRONX,,CORTLAND PARK EXIT 11
Stop,BROOKLYN,BROOKLYN,51 STREET
Dead Animal,BRONX,BRONX,VAN CORTLANDT PARK SOUTH
Dead Animal,BRONX,,230 ST
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,YORK AVENUE
Stop,BROOKLYN,BROOKLYN,EAST 28 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,NYCTA SUBWAY
Driver Complaint,MANHATTAN,NEW YORK,1 AVENUE LOOP
Driver Complaint,MANHATTAN,NEW YORK,PARK AVENUE
Driver Complaint,MANHATTAN,NEW YORK,1 AVENUE
Plate Condition - Shifted,BRONX,BRONX,BRUCKNER EXPRESSWAY ENTRANCE WB
Stop,BROOKLYN,BROOKLYN,CYPRESS AVENUE
Stop,BROOKLYN,BROOKLYN,SETON PLACE
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,43 STREET
N/A,MANHATTAN,NEW YORK,5 AVENUE
Stop,QUEENS,MIDDLE VILLAGE,CALDWELL AVENUE
N/A,MANHATTAN,NEW YORK,WEST 52 STREET
Stop,BROOKLYN,BROOKLYN,SARATOGA AVENUE
N/A,MANHATTAN,NEW YORK,SPRING STREET
Curb Painted,STATEN ISLAND,STATEN ISLAND,CORONA AVENUE
Plate Condition - Shifted,QUEENS,SUNNYSIDE,GREENPOINT AVENUE
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,15 STREET
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,EAST 20 STREET
Stop,BRONX,BRONX,VAN NEST AVENUE
N/A,MANHATTAN,NEW YORK,EAST 59 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,PALMETTO STREET
Driver Complaint,MANHATTAN,,2 AVE
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 71 STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 34 STREET
N/A,MANHATTAN,NEW YORK,WEST 72 STREET
In Public,QUEENS,SPRINGFIELD GARDENS,218 STREET
Stop,QUEENS,CAMBRIA HEIGHTS,222 STREET
Food Protection,MANHATTAN,NEW YORK,WEST 145 STREET
Driver Complaint,MANHATTAN,NEW YORK,BROADWAY
Letter Verifying Traffic,MANHATTAN,,FDR DRIVE
Stop,BROOKLYN,BROOKLYN,51 STREET
Plate Condition - Shifted,MANHATTAN,NEW YORK,EAST 92 STREET
"No Parking, Standing, Stopping",STATEN ISLAND,STATEN ISLAND,RICHMOND TERRACE
Driver Complaint,MANHATTAN,NEW YORK,WEST 27 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,FAIR STREET
Driver Complaint,MANHATTAN,NEW YORK,WEST 25 STREET
Unsafe Worksite,QUEENS,JAMAICA,153 STREET
Plate Condition - Shifted,BROOKLYN,BROOKLYN,59 STREET
N/A,MANHATTAN,NEW YORK,WEST HOUSTON STREET
Dead Animal,BRONX,,TOLL PLAZA
N/A,MANHATTAN,NEW YORK,EAST 43 STREET
Unsafe Worksite,MANHATTAN,NEW YORK,EAST 124 STREET
Stop,MANHATTAN,NEW YORK,WEST 141 STREET
Grass/Weeds,STATEN ISLAND,STATEN ISLAND,HURLBERT STREET
Driver Complaint,MANHATTAN,NEW YORK,EAST 19 STREET
In Public,QUEENS,WHITESTONE,166 STREET
Stop,QUEENS,FOREST HILLS,INGRAM STREET
Driver Complaint,MANHATTAN,,AMSTERDAM AVE.
Plate Condition - Shifted,QUEENS,JAMAICA,BEND
Stop,QUEENS,WOODSIDE,48 AVENUE
Dead Animal,QUEENS,,UTOPIA PARKWAY
Driver Complaint,MANHATTAN,NEW YORK,BROOME STREET
Plate Condition - Shifted,BROOKLYN,BROOKLYN,BRIGHTWATER COURT
Driver Complaint,MANHATTAN,NEW YORK,5 AVENUE
"No Parking, Standing, Stopping",QUEENS,MASPETH,60 STREET
Plate Condition - Shifted,BRONX,BRONX,CALHOUN AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 99 STREET
Curb Painted,QUEENS,WOODSIDE,QUEENS BOULEVARD
Other,MANHATTAN,NEW YORK,WEST 53 STREET
Plate Condition - Shifted,QUEENS,OZONE PARK,SUTTER AVENUE
In Public,QUEENS,RIDGEWOOD,COVERT STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,ROGERS AVENUE
Plate Condition - Shifted,BROOKLYN,BROOKLYN,FOSTER AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 65 STREET
Plate Condition - Shifted,QUEENS,BAYSIDE,203 STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,CROPSEY AVENUE
Stop,BROOKLYN,,EAST 2ND ST
N/A,QUEENS,ASTORIA,36 STREET
Hours of Operation,STATEN ISLAND,STATEN ISLAND,DRUMGOOLE ROAD EAST
Graffiti or Vandalism,QUEENS,ROSEDALE,253 STREET
N/A,MANHATTAN,NEW YORK,EAST 119 STREET
Stop,QUEENS,FLUSHING,UNION STREET
"No Parking, Standing, Stopping",QUEENS,LITTLE NECK,LITTLE NECK PARKWAY
Unsecured Facility,MANHATTAN,NEW YORK,UNNAMED STREET
Damaged Telephone,QUEENS,WOODSIDE,39 AVENUE
Plate Condition - Shifted,STATEN ISLAND,STATEN ISLAND,HYLAN BOULEVARD
Driver Complaint,MANHATTAN,NEW YORK,5 AVENUE
In Public,QUEENS,CORONA,108 STREET
Stop,BROOKLYN,BROOKLYN,LOUISIANA AVENUE
"No Parking, Standing, Stopping",MANHATTAN,NEW YORK,MADISON AVENUE
N/A,MANHATTAN,NEW YORK,WEST HOUSTON STREET
N/A,MANHATTAN,NEW YORK,WEST 189 STREET
Stop,BROOKLYN,BROOKLYN,COZINE AVENUE
Stop,BROOKLYN,BROOKLYN,MARINE AVENUE
Driver Complaint,MANHATTAN,NEW YORK,WEST 28 STREET
In Public,QUEENS,FLUSHING,UNION STREET
Driver Complaint,MANHATTAN,NEW YORK,DEAD END
Driver Complaint,MANHATTAN,NEW YORK,7 AVENUE
Unsafe Worksite,BROOKLYN,BROOKLYN,WALLABOUT STREET
"No Parking, Standing, Stopping",BROOKLYN,BROOKLYN,NORTH 10 STREET
Unsafe Worksite,QUEENS,JACKSON HEIGHTS,NORTHERN BOULEVARD
"No Parking, Standing, Stopping",QUEENS,BAYSIDE,43 AVENUE
"No Parking, Standing, Stopping",QUEENS,WHITESTONE,PARSONS BOULEVARD
Driver Complaint,MANHATTAN,NEW YORK,5 AVENUE
Driver Complaint,MANHATTAN,NEW YORK,EAST 49 STREET
Driver Complaint,MANHATTAN,NEW YORK,ELIZABETH STREET
Injured Wildlife,STATEN ISLAND,STATEN ISLAND,AMSTERDAM AVENUE
Driver Complaint,BROOKLYN,BROOKLYN,8 AVENUE
Plate Condition - Shifted,MANHATTAN,NEW YORK,5 AVENUE
Driver Complaint,BROOKLYN,BROOKLYN,FRANKLIN AVENUE
"No Parking, Standing, Stopping",QUEENS,JAMAICA,HOMELAWN STREET
